Sıra No,Arapça,Ravi,Meal,Kaynak
11,-11       א                                                         K,Ebul Abbâs Abdullah ibn Abbas ib n Abdülmuttalib (Allah Onlardan raz ı  olsun),"Ebul Abbâs Abdullah ibn Abbas ib n Abdülmuttalib (Allah Onlardan raz ı  olsun)’den nakle edildi ğine göre Rasûlullah (sallallahu  aleyhi vesellem) Allah’tan  rivayet etti ği bir hadiste şöyle buyurdu: “Allah iyilik ve kötülükleri takdir edip  yazdıktan sonra bunlar ın durumunu şöyle aç ıkladı; bir kimse iyilik yapmaya  niyetlenir de yapmazsa, Allah buna yapılmış tam bir iyilik olarak sevap yazar, eğer o  kimse hem niyetlenir hem de o iyili ği yaparsa ona on iyilik sevabı yazar ve bu sevabı  yedi yüze ve daha fazlas ına kadar ç ıkarır, kim bir kötülük yapmaya niyetlenir de  sonra vazgeçerse Allah onun için tam bir iyilik sevab ı yazar, eğer kötü işe niyetlenir  ve onu yaparsa Allah o kimse için bir günah yazar.” (Buhârî, Rikâk 31; Müslim, İman  257.)","Buhârî, Rikâk 31; Müslim, İman  257."
12,        W                                   W                       K                                        -      -                     J                                                             K                                                                                        >     W                     {              K,Ebû Abdurrahmân Abdullah ibn Ömer  ibni’l Hattâb (Allah Onlardan raz ı  olsun),"Ebû Abdurrahmân Abdullah ibn Ömer  ibni’l Hattâb (Allah Onlardan raz ı  olsun)’den rivayet edildi ğine göre Rasûlullah (sallallahu aleyhi vesellem) şöyle  buyururken i şittim demi ştir: “Sizden önceki ya şayanlardan üç ki şi bir yolculu ğa  çıktılar, geceyi geçirmek için bir ma ğaraya s ığındılar, da ğdan kopan bir kaya  mağaranın ağzını kapattı, bunun üzerine birbirlerine şöyle dediler: “İyi amellerinizle  dua etmekten başka sizi bu kaya parçasından hiçbirşey kurtaramaz.”  İçlerinden birisi WAllah’ım benim çok ya şlı annem ve babam vard ı; onlardan  önce ne çocuklar ıma ne de hizmetçilerime ak şam sütünü içirmezdim. Birgün uzak  bir yere odun toplamaya gitmi ştim, onlar uyuyuncaya kadar dönemedim, ak şam  sütlerini sa ğıp yanlar ına gelince onlar ı uyur halde buldum, onlar ı uyand ırmayı ve  onlardan önce ev halk ının birşey yeyip içmesini uygun görmedim, süt kab ı elimde  olduğu halde onlar ın uyanmalarını bekledim, nihayet şafak söktü, çocuklar açl ıktan  sızlanıyorlardı, derken annem babam da uyand ılar ve ak şam sütlerini içtiler.  Allah’ım eğer bu işi senin rızanı kazanmak için yapmışsam bu kaya sıkıntısını bizden  uzaklaştır, diye yalvardı kaya biraz aralandı, fakat çıkılacak gibi değildi.  İkinci kimse şöyle dedi: Allah’ım amcam ın bir k ızı vard ı, onu herkesten çok  seviyordum (ba şka bir rivayete göre Wbir erkek bir kad ını ne kadar severse ben de  onu o kadar seviyordum.) Ona sahip ol mak istedim, o kabul etmedi, bir k ıtlık y ılı  amcamın k ızı ç ıkıp geldi, kendisini bana teslim etmek şartıyla ona yüzyirmi alt ın  verdim, kabul etti ona sahip olacaca ğım zaman (di ğer bir rivayete göre cinsi  muameleye ba şlamak üzereyken) dedi ki: “Allah’tan kork, haks ız olarak bekarl ık  mührümü bozma” ben de Allah’tan korkarak bu çok sevdiğim kadından uzaklaştım.  Verdiğim altınları da ona b ıraktım. Allah’ım eğer ben bu i şi senin r ızanı kazanmak  için yapm ışsam, bu belay ı üzerimizden gider diye yalvard ı. Kaya biraz daha aç ıldı  fakat çıkılacak gibi değildi.   Üçüncüleri de WAllah’ım vaktiyle birçok i şci tuttum, ücretini almadan giden  biri d ışında hepsinin ücretini verdim, ücretini almadan giden i şcinin ücretini  çalıştırdım, bu ücretten pekçok mal ço ğaldı, birgün bu adam ç ıkageldi ve bana “Ey  Allah’ın kulu ücretimi ver” dedi. Ben de ona: “ Şu gördü ğün develer, koyunlar ve  köleler senin ücretinden meydana gelmi ştir” dedim. “Ey Allah’ın kulu benimle alay  etme” deyince, “Seninle alay etmiyoru m diye cevap verdim. Bunun üzerine o;  malların hepsini sürüp götürdü, hiç bir şey bırakmadı. “Rabbim eğer bu işi sırf senin  rızanı kazanmak için yapm ışsam, içinde bulunduğumuz sıkıntıdan bizi kurtar” diye  yalvardı mağaranın ağzını kapatan kaya iyice aç ıldı onlar da ç ıkıp gittiler. (Buhârî,  Büyu’ 98; Müslim, Zikir 100.)","Buhârî,  Büyu’ 98; Müslim, Zikir 100."
13,"BÖLÜM: 2  TEVBE ve ALLAH’TAN AFFEDİLMEYİ İSTEMEK     W W K         K          WJ İslam alimler derler ki : Yap ılan her günah için tevbe etmek vaciptir. Şayet  işlenilen günah kullar aras ında olmay ıp insano ğlu ile Rabbi aras ında ise tevbenin  kabul olması için üç şart gereklidir.  1- Yapacağı veya içinde bulunduğu günahı hemen terketmek.  2- İşlediği günahtan dolayı pişmanlık duymak.  3- Bir daha günah işlememeye kesin karar vermek.  Şayet bu üç şartlardan biri yerine getirilmezse tevbesi kabul olmaz.         Eğer yap ılan günah insano ğluna kar şı i şlenilmişse tevbenin kabul olmas ı  için dört şart gereklidir. Bunlardan ilk üç şart yukar ıda zikretti ğimiz şartlardır,  dördüncü şart ise; suç i şlediği ki şi veya ki şilere kar şı kendisini affetirmesi, yani  birisinin malını zorla veya çal ıntı yoluyla alm ışsa, aldığı malı sahibine geri vermesi  veya kendisini ald ığı mala kar şılık sahibinden kendini affetirmesi gerekir. Buna  benzer olarak ba şkasına iftira atma, hakk ında konu şma, vurma, v.b. haks ızlık  olayları örnek verilebilir. Kişi tüm günahlarından tevbe etmesi gerekir. Şayet işlediği  bazı günahlardan tevbe ederse tevbesi sahihtir, fakat di ğer günahlar ının tevbesi  özerinde kal ır. Kuran ı kerim, Sünnet ve ümmetin icma ından gelen delillerle  günahlardan tevbe etmenin vacip olduğuna işaret etmektedir.  W           K      “Hepiniz topluca, (günahkarca davran ışlardan dönüp) Allah’a tevbe ediniz  (yönelin) ki, kurtuluşa (dünya ve ahiret mutluluğunu) eresiniz.” (24 Nûr 31)  W  K  “Rabbinizden (günahlar ınız için) ba ğışlanma dileyin ve sonra tevbe ve  pişmanlık tavrı içinde O’na yönelin.” (11 Hûd 3)  W      K   “Ey iman edenler! Tam bir pi şmanlık ve gönül huzuru içinde gösteri şten uzak  ölçüde Allah’a tevbe edin.” (66 Tahrim 8)  J                  K",,"Ebû Hureyre (Allah Ondan raz ı olsun) Rasûlullah (sallallahu aleyhi  vesellem)’i şöyle buyururken i şittiğini söylemi ştir: “Allah’a yemin ederim ki; ben  günde yetmi ş defadan fazla Allah’tan beni ba ğışlamasını diler ve tevbe ederim.”  (Buhârî, Deavât 3)","Buhârî, Deavât 3"
14,        K,Eğâr ibn Yesâr el Müzenî (Allah Ondan raz ı olsun),"Eğâr ibn Yesâr el Müzenî (Allah Ondan raz ı olsun)’den rivayet edildiğine  göre Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurmu şlardır: “Ey insanlar  Allah’a tevbe edin O’ndan affedilmenizi is teyiniz, çünkü ben Ona günde yüz defa  tevbe ederim. (Müslim, Zikir 42)","Müslim, Zikir 42"
15,   W                                                                          {                          {           K,Rasûlullah (sallallahu aleyhi veselle m)’in hizmetçisi olan Ebû Hamza Enes  ibn Mâlik el Ensârî (Allah Ondan raz ı olsun),"Rasûlullah (sallallahu aleyhi veselle m)’in hizmetçisi olan Ebû Hamza Enes  ibn Mâlik el Ensârî (Allah Ondan raz ı olsun)’den rivayet edildiğine göre Rasûlullah  (sallallahu aleyhi vesellem) şöyle buyurdular: “Kulunun tevbe etmesinden dolay ı  Allah’ın duydu ğu memnuniyet sizden birinin ıssız çölde kaybetti ği devesini  bulduğu zamanki sevincinden daha çoktur.” (Buhârî, Deavât 4; Müslim tevbe 1)  Müslim’in başka bir rivayeti de şöyledir: “Herhangi birinizin tevbesinden  dolayı Allah’ın duydu ğu ho şnutluk ıssız çölde giderken üzerindeki yiyecek ve  içeceği ile birlikte devesini kaybetmi ş ve tüm ümitlerini de yitirmi ş halde bir a ğacın  gölgesine uzan ıp yatan, derken devesinin yan ına dikiliverdi ğini gören ve yular ına  yapışarak a şırı sevincinden dolay ı (ne söyledi ğini bilmeyerek Allah’ ım sen benim  Rabbim ben de senin kulunum diyece ği yerde,) sen benim kulumsun ben de senin  Rabbinim diyen kimsenin sevincinden çok daha fazladır.” (Müslim, tevbe 7)","Müslim, tevbe 7"
16, {                               K,Ebû Mûsâ Abdullah ibn Kays el E şarî (Allah Ondan raz ı olsun)’den rivayet  edildiğ,"Ebû Mûsâ Abdullah ibn Kays el E şarî (Allah Ondan raz ı olsun)’den rivayet  edildiğine göre Peygamberimiz (sallallahu aleyhi vesellem) şöyle buyurmu ştur:  “Allah gündüz günah i şleyen kimsenin tevbesini kabul etmek için geceleyin rahmet  elini açarak tevbeleri kabul eder, gece günah i şleyen kimsenin tevbesini kabul etmek  için gündüz rahmet elini açarak günahlar ı bağışlar, güneş battığı yerden do ğuncaya  kadar (yani kıyamete) kadar bu böylece devam eder gider” (Müslim, tevbe 31)","Müslim, tevbe 31"
17,J         K,Ebû Hureyre (Allah Ondan raz ı olsun),"Ebû Hureyre (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Güne ş bat ıdan do ğmazdan  önce kim tevbe ederse Allah onun tevbesini kabul eder.” (Müslim, Zikir 43)","Müslim, Zikir 43"
18,   W       K,Ebû Abdurrahman Abdullah ibn Ömer  ibni’l Hattâb (Allah Onlardan raz ı  olsun),"Ebû Abdurrahman Abdullah ibn Ömer  ibni’l Hattâb (Allah Onlardan raz ı  olsun)’den rivayet edildi ğine göre Rasûlullah (sallallahu aleyhi vesellem) şöyle  buyurdu: “Bir kul can çeki şmeye ba şlamadıkça Allah onun tevbesini kabul eder.”  (Tirmîzî, Deavât 98)","Tirmîzî, Deavât 98"
19,                              W    :   J        J                                       {                     K ،               :                              K        K,,"Zirr ibn Hubey ş (Allah Ondan raz ı olsun) şöyle demi ştir: Mestler üzerine  nasıl mesh edileceğini sormak üzere Safvân ibn Assâl’in yanına gitmiştim, Zirr bana  niçin geldin diye sordu. Ben de İlim ö ğrenmek için deyince şunları söyledi:  “Melekler ilim öğrenenlerden hoşlandıkları için onlara kanat gererler, ben de abdest  bozduktan sonra mestler üzerine nas ıl mesh edilece ği kalbimi kurcalad ı, sen de Hz.  Peygamberin ashab ından oldu ğun için O’nun bu konuda bir şey söyledi ğini  işitmişsindir diye sormaya geldim.” Sa vfân: “Evet duydum, peygambe-rimiz  (sallallahu aleyhi vesellem) yolculukta bulundu ğumuz zaman mestleri üç gün üç  gece ç ıkarmamayı, abdest bozduktan ve uykudan sonra bile mestlere meshetmeyi  ancak cünüp olunca mestleri ç ıkarmayı emrederdi.” dedi. “O’nun sevgiye dair bir  şeyler söyledi ğini i şittiniz mi? dedim” “Evet i şittim. Rasûlullah (sallallahu aleyhi  vesellem) ile bir seferde beraberken bi r bedevî gür sesiyle Ya Muhammed diye  bağırdı. Hz. Peygamber (sallallahu aleyhi vesellem) de onun sesine yak ın bir sesle  “Gel buraday ım” diye cevap verdi. Ben bedevîye yaz ıklar olsun sana, peygamber  (sallallahu aleyhi vesellem)’in yan ındasın sesini kes, yüksek sesle ba ğırmanı Allah  yasakladı dedim. Bedevî vallahi sesimi k ısmam dedi ve Rasûlullah (sallallahu aleyhi  vesellem)’e hitaben: Bir ki şi bir toplumu sever fakat onlar gibi hay ırlı ameller  yapamadığından onlara ula şamazsa bu kimsenin duru mu nedir? deyince  Peygamberimiz (sallallahu aleyhi vesellem) “Ki şi k ıyamet gününde sevdikleriyle  beraberdir.” diye buyurdular. Safvân ibn A ssâl sözüne devam ederek dedi ki; “Hz.  Peygamber (sallallahu aleyhi vesellem) bu konuda uzun uzad ıya konuştu. Hatta batı  taraflarında bulunan bir kap ıdan bahsetti. Bu kap ının geni şlik mesafesi veya yaya  yürüyüşü ile kırk yıl veya yetmiş yıl genişliğindedir buyurdu.”  Şam taraflarının hadis rivayet edenlerinden Sü fyân ibn Uyeyne dedi ki: “Allah  gökleri ve yeri yaratt ığı günden beri bu kap ıyı tevbe edenler için aç ık b ırakmıştır.  Güneş battığı yerden doğuncaya kadar o kapı kapanmayacaktır.” (Timîzî, Deavât 98)      W ،     W{           W                            W                                               K         W  W              K",
20,,Ebû Saîd Sa’d ibn Mâlik ib n Sinân el Hudrî (Allah Ondan raz ı olsun),"Ebû Saîd Sa’d ibn Mâlik ib n Sinân el Hudrî (Allah Ondan raz ı olsun)’den  rivayet edildi ğine göre Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurmu ştur:  “Vaktiyle doksandokuz ki şiyi öldürmü ş bir adam vard ı, bu kimse yeryüzünde en  büyük bilgi sahibinin kim oldu ğunu soru şturdu, ona bir rahibi haber verdiler. Bu  adam rahibe giderek: “Doksandokuz ad am öldürdüm tevbe edebilirmiyim (kabul  olur mu)?” diye sordu. Rahib: “Hay ır edemezsin (kabul olmaz)” deyince onu da  öldürerek sayıyı yüze tamamladı. Sonra yeryüzünün en bilginini soru şturdu, ona bir  alim kişiyi tavsiye ettiler. Onun yan ına vararak yüz ki şiyi öldürdüğünü tevbe edip  edemeyeceğini (kabul edilip edilmeyece ğini) sordu. O alim elbette edebilirsin (kabul  olur), insanla tevbesi aras ına kim girebilir ki, sen falan ye re git orada Allah’a ibadet  eden insanlar var, sende onlarla beraber Allah’a ibadet et, sak ın kendi memleketine  geri dönme, çünkü oras ı kötü bir yerdir dedi. Adam denilen yere gitmek üzere yola  çıktı, tam yolu yarılamıştı ki, ölüm onu yakaladı. Rahmet melekleriyle azap melekleri  adam hakk ında münaka şaya tutu ştu, rahmet melekleri: Adam tevbe edip kalben  Allah’a yönelerek geliyordu dediler. Azap melekleri ise: O adam hayat ında hiç iyilik  yapmadi ki dediler. Derken insan şekline girmi ş bir melek ç ıkageldi, melekler onu  aralarında hakem tayin ettiler, hakem olan melek: Geldi ği yerle gidece ği yerin  arasındaki mesafeyi ölçün, hangisine daha yak ınsa ona göre muamele yap ın dedi.  Melekler ölçtüler gitmek istedi ği yerin daha yak ın oldu ğunu gördüler ve rahmet  melekleri onun ruhunu alıp götürdüler.” (Buhârî, Enbiyâ 54; Müslim, tevbe 46,47)","Buhârî, Enbiyâ 54; Müslim, tevbe 46,47"
